,feature,icc_value,c_down,c_up,sequence
4033,wavelet-HLL_gldm_HighGrayLevelEmphasis,0.75,0.61,0.89,t2w
4034,wavelet-HLL_gldm_LargeDependenceEmphasis,0.99,0.99,1.0,t2w
4035,wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.75,0.61,0.89,t2w
4036,wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.87,0.78,0.95,t2w
4037,wavelet-HLL_gldm_LowGrayLevelEmphasis,0.87,0.78,0.95,t2w
4038,wavelet-HLL_gldm_SmallDependenceEmphasis,0.95,0.91,0.98,t2w
4039,wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.76,0.61,0.89,t2w
4040,wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.83,0.71,0.92,t2w
4041,wavelet-HLH_firstorder_10Percentile,0.99,0.99,1.0,t2w
4042,wavelet-HLH_firstorder_90Percentile,0.99,0.99,1.0,t2w
4043,wavelet-HLH_firstorder_Energy,0.98,0.97,0.99,t2w
4044,wavelet-HLH_firstorder_Entropy,0.94,0.9,0.98,t2w
4045,wavelet-HLH_firstorder_InterquartileRange,1.0,0.99,1.0,t2w
4046,wavelet-HLH_firstorder_Kurtosis,0.85,0.74,0.93,t2w
4047,wavelet-HLH_firstorder_Maximum,0.68,0.52,0.85,t2w
4048,wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.99,0.98,1.0,t2w
4049,wavelet-HLH_firstorder_Mean,0.34,0.19,0.58,t2w
4050,wavelet-HLH_firstorder_Median,0.68,0.51,0.84,t2w
4051,wavelet-HLH_firstorder_Minimum,0.71,0.55,0.86,t2w
4052,wavelet-HLH_firstorder_Range,0.73,0.57,0.87,t2w
4053,wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,1.0,0.99,1.0,t2w
4054,wavelet-HLH_firstorder_RootMeanSquared,0.71,0.56,0.86,t2w
4055,wavelet-HLH_firstorder_Skewness,0.3,0.16,0.54,t2w
4056,wavelet-HLH_firstorder_TotalEnergy,0.98,0.97,0.99,t2w
4057,wavelet-HLH_firstorder_Uniformity,0.95,0.91,0.98,t2w
4058,wavelet-HLH_firstorder_Variance,0.97,0.94,0.99,t2w
4059,wavelet-HLH_glcm_Autocorrelation,0.59,0.42,0.79,t2w
4060,wavelet-HLH_glcm_ClusterProminence,0.81,0.69,0.92,t2w
4061,wavelet-HLH_glcm_ClusterShade,0.35,0.2,0.59,t2w
4062,wavelet-HLH_glcm_ClusterTendency,0.94,0.9,0.98,t2w
4063,wavelet-HLH_glcm_Contrast,0.96,0.93,0.99,t2w
4064,wavelet-HLH_glcm_Correlation,1.0,0.99,1.0,t2w
4065,wavelet-HLH_glcm_DifferenceAverage,0.98,0.96,0.99,t2w
4066,wavelet-HLH_glcm_DifferenceEntropy,0.97,0.94,0.99,t2w
4067,wavelet-HLH_glcm_DifferenceVariance,0.95,0.91,0.98,t2w
4068,wavelet-HLH_glcm_Id,0.99,0.97,0.99,t2w
4069,wavelet-HLH_glcm_Idm,0.98,0.97,0.99,t2w
4070,wavelet-HLH_glcm_Idmn,0.84,0.72,0.93,t2w
4071,wavelet-HLH_glcm_Idn,0.78,0.65,0.9,t2w
4072,wavelet-HLH_glcm_Imc1,0.95,0.91,0.98,t2w
4073,wavelet-HLH_glcm_Imc2,0.93,0.87,0.97,t2w
4074,wavelet-HLH_glcm_InverseVariance,1.0,0.99,1.0,t2w
4075,wavelet-HLH_glcm_JointAverage,0.65,0.48,0.82,t2w
4076,wavelet-HLH_glcm_JointEnergy,0.97,0.95,0.99,t2w
4077,wavelet-HLH_glcm_JointEntropy,0.96,0.93,0.99,t2w
4078,wavelet-HLH_glcm_MCC,0.67,0.5,0.84,t2w
4079,wavelet-HLH_glcm_MaximumProbability,0.98,0.95,0.99,t2w
4080,wavelet-HLH_glcm_SumAverage,0.65,0.48,0.82,t2w
4081,wavelet-HLH_glcm_SumEntropy,0.96,0.93,0.98,t2w
4082,wavelet-HLH_glcm_SumSquares,0.95,0.91,0.98,t2w
4083,wavelet-HLH_glrlm_GrayLevelNonUniformity,0.99,0.97,0.99,t2w
4084,wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.95,0.91,0.98,t2w
4085,wavelet-HLH_glrlm_GrayLevelVariance,0.92,0.85,0.97,t2w
4086,wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.6,0.42,0.79,t2w
4087,wavelet-HLH_glrlm_LongRunEmphasis,1.0,0.99,1.0,t2w
4088,wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.62,0.45,0.81,t2w
4089,wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.83,0.72,0.93,t2w
4090,wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.8,0.67,0.91,t2w
4091,wavelet-HLH_glrlm_RunEntropy,0.95,0.9,0.98,t2w
4092,wavelet-HLH_glrlm_RunLengthNonUniformity,0.98,0.97,0.99,t2w
4093,wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.99,0.98,1.0,t2w
4094,wavelet-HLH_glrlm_RunPercentage,0.99,0.98,1.0,t2w
4095,wavelet-HLH_glrlm_RunVariance,1.0,1.0,1.0,t2w
4096,wavelet-HLH_glrlm_ShortRunEmphasis,0.99,0.98,0.99,t2w
4097,wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.6,0.43,0.8,t2w
4098,wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.78,0.65,0.9,t2w
4099,wavelet-HLH_glszm_GrayLevelNonUniformity,0.93,0.87,0.97,t2w
4100,wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.89,0.81,0.95,t2w
4101,wavelet-HLH_glszm_GrayLevelVariance,0.8,0.68,0.91,t2w
4102,wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.61,0.44,0.8,t2w
4103,wavelet-HLH_glszm_LargeAreaEmphasis,0.99,0.98,1.0,t2w
4104,wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.91,0.83,0.96,t2w
4105,wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.99,0.98,1.0,t2w
4106,wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.8,0.68,0.91,t2w
4107,wavelet-HLH_glszm_SizeZoneNonUniformity,0.83,0.71,0.92,t2w
4108,wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.85,0.75,0.94,t2w
4109,wavelet-HLH_glszm_SmallAreaEmphasis,0.83,0.72,0.93,t2w
4110,wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.58,0.41,0.78,t2w
4111,wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.84,0.72,0.93,t2w
4112,wavelet-HLH_glszm_ZoneEntropy,0.86,0.75,0.94,t2w
4113,wavelet-HLH_glszm_ZonePercentage,0.97,0.94,0.99,t2w
