,feature,icc_value,c_down,c_up,sequence
169,original_glszm_ZoneVariance,1.0,1.0,1.0,adc
170,original_glszm_SmallAreaEmphasis,1.0,1.0,1.0,dce
171,original_ngtdm_Busyness,0.93,0.87,0.97,adc
172,original_glszm_SmallAreaHighGrayLevelEmphasis,1.0,1.0,1.0,dce
173,original_glszm_SmallAreaLowGrayLevelEmphasis,1.0,1.0,1.0,dce
174,original_ngtdm_Coarseness,0.99,0.98,1.0,adc
175,original_glszm_ZoneEntropy,1.0,1.0,1.0,dce
176,original_ngtdm_Complexity,0.97,0.94,0.99,adc
177,original_glszm_ZonePercentage,1.0,1.0,1.0,dce
178,original_ngtdm_Contrast,0.98,0.97,0.99,adc
179,original_ngtdm_Strength,0.88,0.8,0.95,adc
180,original_glszm_ZoneVariance,0.99,0.99,1.0,dce
181,original_gldm_DependenceEntropy,1.0,0.99,1.0,adc
182,original_ngtdm_Busyness,1.0,1.0,1.0,dce
183,original_ngtdm_Coarseness,0.98,0.97,0.99,dce
184,original_gldm_DependenceNonUniformity,0.99,0.99,1.0,adc
185,original_gldm_DependenceNonUniformityNormalized,1.0,0.99,1.0,adc
186,original_ngtdm_Complexity,1.0,1.0,1.0,dce
187,original_gldm_DependenceVariance,1.0,0.99,1.0,adc
188,original_ngtdm_Contrast,1.0,1.0,1.0,dce
189,original_gldm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
190,original_ngtdm_Strength,1.0,1.0,1.0,dce
191,original_gldm_GrayLevelVariance,0.99,0.98,1.0,adc
192,original_gldm_DependenceEntropy,1.0,1.0,1.0,dce
193,original_gldm_HighGrayLevelEmphasis,0.91,0.85,0.96,adc
194,original_gldm_LargeDependenceEmphasis,1.0,0.99,1.0,adc
195,original_gldm_DependenceNonUniformity,0.99,0.99,1.0,dce
196,original_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,dce
197,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.9,0.82,0.96,adc
198,original_gldm_LargeDependenceLowGrayLevelEmphasis,1.0,0.99,1.0,adc
199,original_gldm_DependenceVariance,1.0,1.0,1.0,dce
200,original_gldm_LowGrayLevelEmphasis,1.0,0.99,1.0,adc
201,original_gldm_GrayLevelNonUniformity,1.0,0.99,1.0,dce
202,original_gldm_SmallDependenceEmphasis,1.0,0.99,1.0,adc
203,original_gldm_GrayLevelVariance,1.0,1.0,1.0,dce
204,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.91,0.85,0.96,adc
205,original_gldm_HighGrayLevelEmphasis,1.0,1.0,1.0,dce
206,original_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,dce
207,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.99,0.99,1.0,adc
208,original_gldm_LargeDependenceHighGrayLevelEmphasis,1.0,1.0,1.0,dce
209,log-sigma-2-0-mm-3D_firstorder_10Percentile,1.0,0.99,1.0,adc
210,original_gldm_LargeDependenceLowGrayLevelEmphasis,1.0,1.0,1.0,dce
211,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.99,0.98,1.0,adc
212,log-sigma-2-0-mm-3D_firstorder_Energy,0.99,0.98,1.0,adc
213,original_gldm_LowGrayLevelEmphasis,1.0,1.0,1.0,dce
214,log-sigma-2-0-mm-3D_firstorder_Entropy,1.0,0.99,1.0,adc
215,original_gldm_SmallDependenceEmphasis,1.0,1.0,1.0,dce
216,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,1.0,1.0,adc
217,original_gldm_SmallDependenceHighGrayLevelEmphasis,1.0,1.0,1.0,dce
218,log-sigma-2-0-mm-3D_firstorder_Kurtosis,1.0,1.0,1.0,adc
219,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.99,0.99,1.0,dce
220,log-sigma-2-0-mm-3D_firstorder_Maximum,0.94,0.9,0.98,adc
221,log-sigma-2-0-mm-3D_firstorder_10Percentile,1.0,1.0,1.0,dce
222,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,0.99,1.0,adc
223,log-sigma-2-0-mm-3D_firstorder_90Percentile,1.0,0.99,1.0,dce
224,log-sigma-2-0-mm-3D_firstorder_Mean,0.99,0.99,1.0,adc
225,log-sigma-2-0-mm-3D_firstorder_Energy,1.0,1.0,1.0,dce
226,log-sigma-2-0-mm-3D_firstorder_Median,0.99,0.99,1.0,adc
227,log-sigma-2-0-mm-3D_firstorder_Entropy,1.0,1.0,1.0,dce
228,log-sigma-2-0-mm-3D_firstorder_Minimum,1.0,0.99,1.0,adc
229,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,1.0,1.0,dce
230,log-sigma-2-0-mm-3D_firstorder_Range,0.97,0.95,0.99,adc
231,log-sigma-2-0-mm-3D_firstorder_Kurtosis,1.0,1.0,1.0,dce
232,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,adc
233,log-sigma-2-0-mm-3D_firstorder_Maximum,1.0,1.0,1.0,dce
234,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,dce
235,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.99,0.99,1.0,adc
236,log-sigma-2-0-mm-3D_firstorder_Mean,1.0,0.99,1.0,dce
237,log-sigma-2-0-mm-3D_firstorder_Skewness,1.0,0.99,1.0,adc
238,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.99,0.98,1.0,adc
239,log-sigma-2-0-mm-3D_firstorder_Median,0.99,0.98,1.0,dce
240,log-sigma-2-0-mm-3D_firstorder_Uniformity,1.0,1.0,1.0,adc
241,log-sigma-2-0-mm-3D_firstorder_Minimum,1.0,1.0,1.0,dce
242,log-sigma-2-0-mm-3D_firstorder_Variance,0.99,0.98,1.0,adc
243,log-sigma-2-0-mm-3D_firstorder_Range,1.0,1.0,1.0,dce
244,log-sigma-2-0-mm-3D_glcm_Autocorrelation,1.0,0.99,1.0,adc
