,feature,icc_value,c_down,c_up,sequence
249,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.93,0.87,0.97,adc
250,log-sigma-2-0-mm-3D_firstorder_Variance,1.0,0.99,1.0,dce
251,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.98,0.97,0.99,adc
252,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.99,0.98,0.99,adc
253,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.51,0.33,0.73,dce
254,log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.99,0.98,1.0,adc
255,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.94,0.9,0.98,dce
256,log-sigma-2-0-mm-3D_glcm_Contrast,0.99,0.97,0.99,adc
257,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.98,0.96,0.99,dce
258,log-sigma-2-0-mm-3D_glcm_Correlation,0.98,0.97,0.99,adc
259,log-sigma-2-0-mm-3D_glcm_ClusterTendency,1.0,0.99,1.0,dce
260,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.99,0.99,1.0,adc
261,log-sigma-2-0-mm-3D_glcm_Contrast,0.99,0.98,1.0,dce
262,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.99,0.99,1.0,adc
263,log-sigma-2-0-mm-3D_glcm_Correlation,0.97,0.94,0.99,dce
264,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,1.0,0.99,1.0,dce
265,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.97,0.95,0.99,adc
266,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,1.0,1.0,1.0,dce
267,log-sigma-2-0-mm-3D_glcm_Id,1.0,0.99,1.0,adc
268,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.98,0.97,0.99,dce
269,log-sigma-2-0-mm-3D_glcm_Idm,1.0,0.99,1.0,adc
270,log-sigma-2-0-mm-3D_glcm_Id,1.0,1.0,1.0,dce
271,log-sigma-2-0-mm-3D_glcm_Idmn,0.85,0.74,0.93,adc
272,log-sigma-2-0-mm-3D_glcm_Idm,1.0,1.0,1.0,dce
273,log-sigma-2-0-mm-3D_glcm_Idn,0.84,0.73,0.93,adc
274,log-sigma-2-0-mm-3D_glcm_Idmn,0.97,0.95,0.99,dce
275,log-sigma-2-0-mm-3D_glcm_Imc1,0.99,0.98,1.0,adc
276,log-sigma-2-0-mm-3D_glcm_Idn,0.98,0.96,0.99,dce
277,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.98,1.0,adc
278,log-sigma-2-0-mm-3D_glcm_Imc1,1.0,0.99,1.0,dce
279,log-sigma-2-0-mm-3D_glcm_InverseVariance,1.0,0.99,1.0,adc
280,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.99,1.0,dce
281,log-sigma-2-0-mm-3D_glcm_JointAverage,0.92,0.85,0.96,adc
