,feature,icc_value,c_down,c_up,sequence
333,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.92,0.9,0.94,t2w
334,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.9,0.88,0.93,adc
335,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9,0.87,0.92,t2w
336,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
337,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.81,0.77,0.86,t2w
338,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.99,1.0,adc
339,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.86,0.83,0.9,t2w
340,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.99,0.98,0.99,adc
341,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.99,0.99,1.0,t2w
342,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.82,0.78,0.86,adc
343,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.91,0.89,0.93,t2w
344,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.95,0.93,0.96,adc
345,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.96,0.95,0.97,t2w
346,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.89,0.86,0.92,adc
347,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.88,0.85,0.91,adc
348,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.92,0.89,0.94,t2w
349,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.68,0.61,0.74,t2w
350,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.9,0.88,0.93,adc
351,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.64,0.58,0.71,t2w
352,log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.81,0.77,0.86,adc
