,feature,icc_value,c_down,c_up,sequence
255,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.92,0.9,0.94,adc
256,log-sigma-2-0-mm-3D_glcm_Correlation,0.99,0.99,0.99,t2w
257,log-sigma-2-0-mm-3D_glcm_ClusterProminence,1.0,0.99,1.0,adc
258,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,1.0,1.0,1.0,t2w
259,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.99,0.99,0.99,adc
260,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,1.0,1.0,1.0,t2w
261,log-sigma-2-0-mm-3D_glcm_ClusterTendency,1.0,0.99,1.0,adc
262,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,1.0,1.0,1.0,t2w
263,log-sigma-2-0-mm-3D_glcm_Contrast,0.99,0.99,1.0,adc
264,log-sigma-2-0-mm-3D_glcm_Id,1.0,1.0,1.0,t2w
265,log-sigma-2-0-mm-3D_glcm_Correlation,0.99,0.98,0.99,adc
266,log-sigma-2-0-mm-3D_glcm_Idm,1.0,1.0,1.0,t2w
267,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,1.0,1.0,1.0,adc
268,log-sigma-2-0-mm-3D_glcm_Idmn,0.95,0.93,0.96,t2w
269,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,1.0,0.99,1.0,adc
270,log-sigma-2-0-mm-3D_glcm_Idn,0.95,0.94,0.96,t2w
271,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.99,0.99,0.99,adc
272,log-sigma-2-0-mm-3D_glcm_Imc1,0.99,0.98,0.99,t2w
273,log-sigma-2-0-mm-3D_glcm_Id,1.0,1.0,1.0,adc
274,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.99,0.99,t2w
275,log-sigma-2-0-mm-3D_glcm_Idm,1.0,1.0,1.0,adc
276,log-sigma-2-0-mm-3D_glcm_InverseVariance,1.0,0.99,1.0,t2w
277,log-sigma-2-0-mm-3D_glcm_Idmn,0.9,0.87,0.92,adc
278,log-sigma-2-0-mm-3D_glcm_JointAverage,0.92,0.9,0.94,t2w
279,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,1.0,1.0,t2w
280,log-sigma-2-0-mm-3D_glcm_Idn,0.92,0.89,0.94,adc
281,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,1.0,1.0,t2w
282,log-sigma-2-0-mm-3D_glcm_Imc1,0.99,0.99,0.99,adc
283,log-sigma-2-0-mm-3D_glcm_MCC,0.93,0.91,0.95,t2w
284,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.99,1.0,adc
285,log-sigma-2-0-mm-3D_glcm_MaximumProbability,1.0,1.0,1.0,t2w
286,log-sigma-2-0-mm-3D_glcm_InverseVariance,1.0,1.0,1.0,adc
287,log-sigma-2-0-mm-3D_glcm_SumAverage,0.92,0.9,0.94,t2w
288,log-sigma-2-0-mm-3D_glcm_JointAverage,0.92,0.89,0.94,adc
289,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,1.0,1.0,t2w
290,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,1.0,1.0,adc
291,log-sigma-2-0-mm-3D_glcm_SumSquares,1.0,1.0,1.0,t2w
292,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,1.0,1.0,adc
293,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
294,log-sigma-2-0-mm-3D_glcm_MCC,0.95,0.93,0.96,adc
295,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,t2w
296,log-sigma-2-0-mm-3D_glcm_MaximumProbability,1.0,1.0,1.0,adc
297,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.99,1.0,t2w
298,log-sigma-2-0-mm-3D_glcm_SumAverage,0.92,0.89,0.94,adc
299,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.86,0.83,0.9,t2w
300,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,1.0,1.0,adc
301,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,1.0,1.0,t2w
302,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.84,0.8,0.88,t2w
303,log-sigma-2-0-mm-3D_glcm_SumSquares,1.0,1.0,1.0,adc
304,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.94,0.93,0.96,t2w
305,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
306,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.93,0.91,0.95,t2w
307,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,adc
308,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.98,0.98,0.99,t2w
309,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.99,1.0,adc
310,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,t2w
311,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.92,0.9,0.94,adc
312,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,1.0,t2w
