,feature,icc_value,c_down,c_up,sequence
1357,wavelet-LHH_firstorder_Skewness,0.98,0.97,0.98,t2w
1358,wavelet-LHH_firstorder_RootMeanSquared,0.98,0.98,0.99,adc
1359,wavelet-LHH_firstorder_TotalEnergy,1.0,1.0,1.0,t2w
1360,wavelet-LHH_firstorder_Skewness,0.94,0.92,0.96,adc
1361,wavelet-LHH_firstorder_Uniformity,1.0,1.0,1.0,t2w
1362,wavelet-LHH_firstorder_TotalEnergy,0.99,0.99,0.99,adc
1363,wavelet-LHH_firstorder_Variance,1.0,1.0,1.0,t2w
1364,wavelet-LHH_firstorder_Uniformity,0.99,0.99,0.99,adc
1365,wavelet-LHH_glcm_Autocorrelation,1.0,1.0,1.0,t2w
1366,wavelet-LHH_firstorder_Variance,0.99,0.98,0.99,adc
1367,wavelet-LHH_glcm_ClusterProminence,1.0,1.0,1.0,t2w
1368,wavelet-LHH_glcm_Autocorrelation,0.97,0.96,0.98,adc
1369,wavelet-LHH_glcm_ClusterShade,0.99,0.99,0.99,t2w
1370,wavelet-LHH_glcm_ClusterProminence,0.98,0.98,0.99,adc
1371,wavelet-LHH_glcm_ClusterTendency,1.0,1.0,1.0,t2w
1372,wavelet-LHH_glcm_ClusterShade,0.98,0.97,0.98,adc
1373,wavelet-LHH_glcm_Contrast,1.0,1.0,1.0,t2w
1374,wavelet-LHH_glcm_ClusterTendency,0.99,0.98,0.99,adc
1375,wavelet-LHH_glcm_Correlation,0.99,0.99,0.99,t2w
1376,wavelet-LHH_glcm_Contrast,0.99,0.98,0.99,adc
1377,wavelet-LHH_glcm_DifferenceAverage,1.0,1.0,1.0,t2w
1378,wavelet-LHH_glcm_Correlation,0.97,0.96,0.98,adc
1379,wavelet-LHH_glcm_DifferenceAverage,0.99,0.99,0.99,adc
1380,wavelet-LHH_glcm_DifferenceEntropy,1.0,1.0,1.0,t2w
1381,wavelet-LHH_glcm_DifferenceEntropy,0.99,0.98,0.99,adc
1382,wavelet-LHH_glcm_DifferenceVariance,1.0,1.0,1.0,t2w
1383,wavelet-LHH_glcm_DifferenceVariance,0.98,0.98,0.99,adc
1384,wavelet-LHH_glcm_Id,1.0,1.0,1.0,t2w
1385,wavelet-LHH_glcm_Id,0.99,0.99,0.99,adc
1386,wavelet-LHH_glcm_Idm,1.0,1.0,1.0,t2w
1387,wavelet-LHH_glcm_Idm,0.99,0.99,0.99,adc
1388,wavelet-LHH_glcm_Idmn,0.99,0.99,0.99,t2w
1389,wavelet-LHH_glcm_Idmn,0.96,0.95,0.97,adc
1390,wavelet-LHH_glcm_Idn,0.99,0.99,0.99,t2w
1391,wavelet-LHH_glcm_Idn,0.96,0.95,0.97,adc
1392,wavelet-LHH_glcm_Imc1,1.0,1.0,1.0,t2w
1393,wavelet-LHH_glcm_Imc1,0.97,0.97,0.98,adc
1394,wavelet-LHH_glcm_Imc2,1.0,1.0,1.0,t2w
1395,wavelet-LHH_glcm_Imc2,0.98,0.98,0.99,adc
1396,wavelet-LHH_glcm_InverseVariance,1.0,1.0,1.0,t2w
1397,wavelet-LHH_glcm_InverseVariance,0.99,0.99,0.99,adc
1398,wavelet-LHH_glcm_JointAverage,1.0,0.99,1.0,t2w
1399,wavelet-LHH_glcm_JointAverage,0.96,0.95,0.97,adc
1400,wavelet-LHH_glcm_JointEnergy,1.0,1.0,1.0,t2w
1401,wavelet-LHH_glcm_JointEnergy,0.99,0.99,0.99,adc
1402,wavelet-LHH_glcm_JointEntropy,1.0,1.0,1.0,t2w
1403,wavelet-LHH_glcm_JointEntropy,0.99,0.98,0.99,adc
1404,wavelet-LHH_glcm_MCC,0.99,0.99,0.99,t2w
1405,wavelet-LHH_glcm_MCC,0.96,0.95,0.97,adc
1406,wavelet-LHH_glcm_MaximumProbability,1.0,1.0,1.0,t2w
1407,wavelet-LHH_glcm_SumAverage,1.0,0.99,1.0,t2w
1408,wavelet-LHH_glcm_MaximumProbability,0.99,0.99,1.0,adc
1409,wavelet-LHH_glcm_SumEntropy,1.0,1.0,1.0,t2w
1410,wavelet-LHH_glcm_SumAverage,0.96,0.95,0.97,adc
1411,wavelet-LHH_glcm_SumSquares,1.0,1.0,1.0,t2w
1412,wavelet-LHH_glcm_SumEntropy,0.99,0.98,0.99,adc
1413,wavelet-LHH_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
1414,wavelet-LHH_glcm_SumSquares,0.99,0.98,0.99,adc
1415,wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,t2w
1416,wavelet-LHH_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
1417,wavelet-LHH_glrlm_GrayLevelVariance,1.0,1.0,1.0,t2w
